Churn,Genero,Tercera_Edad,Con_Pareja,Tiene_Dependientes,Meses_Contrato,Tiene_Servicio_Telefonico,Servicio_Internet,Tiene_Soporte_Tecnico,Tiene_Streaming_TV,Duración_Contrato,Forma de pago,Cargos_Mensuales,Total_Facturado,Cargos_Diarios
0,Female,0,1,1,9,1,DSL,1,1,One year,Mailed check,65.6,593.3,2.1866666666666665
0,Male,0,0,0,9,1,DSL,0,0,Month-to-month,Mailed check,59.9,542.4,1.9966666666666666
1,Male,0,0,0,4,1,Fiber optic,0,0,Month-to-month,Electronic check,73.9,280.85,2.4633333333333334
1,Male,1,1,0,13,1,Fiber optic,0,1,Month-to-month,Electronic check,98.0,1237.85,3.2666666666666666
1,Female,1,1,0,3,1,Fiber optic,1,1,Month-to-month,Mailed check,83.9,267.4,2.796666666666667
0,Female,0,0,1,9,1,DSL,1,1,Month-to-month,Credit card (automatic),69.4,571.45,2.3133333333333335
0,Female,1,1,0,71,1,Fiber optic,1,1,Two year,Bank transfer (automatic),109.7,7904.25,3.6566666666666667
0,Male,0,1,0,63,1,Fiber optic,1,0,Two year,Credit card (automatic),84.65,5377.8,2.8216666666666668
0,Female,1,0,0,7,1,DSL,0,0,Month-to-month,Electronic check,48.2,340.35,1.6066666666666667
0,Female,0,1,1,65,1,DSL,1,1,Two year,Mailed check,90.45,5957.9,3.015
0,Male,0,0,0,54,0,DSL,1,1,Two year,Credit card (automatic),45.2,2460.55,1.5066666666666668
0,Female,0,1,1,72,1,Fiber optic,1,1,Two year,Credit card (automatic),116.8,8456.75,3.893333333333333
0,Female,0,1,0,5,1,Fiber optic,0,0,Month-to-month,Electronic check,68.95,351.5,2.2983333333333333
0,Female,0,0,0,72,1,Fiber optic,0,1,Two year,Bank transfer (automatic),101.3,7261.25,3.3766666666666665
0,Female,0,0,0,56,0,DSL,1,0,Two year,Bank transfer (automatic),45.05,2560.1,1.5016666666666665
0,Female,0,1,1,71,1,Fiber optic,0,0,Two year,Credit card (automatic),95.75,6849.4,3.191666666666667
0,Female,0,1,1,34,0,DSL,1,1,One year,Mailed check,61.25,1993.2,2.0416666666666665
0,Female,1,0,0,1,1,Fiber optic,0,0,Month-to-month,Electronic check,72.1,72.1,2.4033333333333333
1,Male,1,0,0,45,1,DSL,0,0,One year,Credit card (automatic),62.7,2791.5,2.0900000000000003
1,Male,1,0,0,1,0,DSL,0,0,Month-to-month,Electronic check,25.1,25.1,0.8366666666666667
0,Female,1,1,0,50,1,No,False,0,One year,Electronic check,25.2,1306.3,0.84
1,Female,0,1,0,13,1,Fiber optic,0,1,Month-to-month,Electronic check,94.1,1215.6,3.1366666666666663
0,Female,0,1,1,23,1,Fiber optic,0,1,Month-to-month,Electronic check,83.75,1849.95,2.7916666666666665
0,Female,0,0,0,3,1,No,False,0,Month-to-month,Mailed check,19.85,57.2,0.6616666666666667
1,Female,0,1,1,4,1,No,False,0,Month-to-month,Mailed check,20.35,76.35,0.6783333333333333
1,Female,0,1,1,1,0,DSL,0,0,Month-to-month,Bank transfer (automatic),30.5,30.5,1.0166666666666666
0,Female,0,1,1,55,1,Fiber optic,1,1,One year,Bank transfer (automatic),103.7,5656.75,3.4566666666666666
0,Male,0,1,1,54,1,No,False,0,Two year,Credit card (automatic),20.4,1090.6,0.6799999999999999
0,Male,0,0,0,26,1,No,False,0,One year,Bank transfer (automatic),19.6,471.85,0.6533333333333334
0,Female,0,1,1,69,1,No,False,0,Two year,Bank transfer (automatic),19.7,1396.9,0.6566666666666666
0,Female,0,0,0,11,1,Fiber optic,0,0,Month-to-month,Bank transfer (automatic),79.0,929.3,2.6333333333333333
0,Male,0,1,1,37,1,Fiber optic,0,1,One year,Credit card (automatic),91.2,3247.55,3.04
0,Female,0,1,0,49,1,No,False,0,One year,Bank transfer (automatic),20.45,900.9,0.6816666666666666
0,Male,0,1,0,66,1,Fiber optic,1,1,One year,Bank transfer (automatic),115.8,7942.15,3.86
0,Female,0,0,0,67,1,No,False,0,One year,Electronic check,20.55,1343.4,685
0,Male,0,1,1,20,0,DSL,1,0,Two year,Credit card (automatic),39.4,825.4,1.3133333333333332
